Model,Dataset,Task,F1_Micro,F1_Macro
mdg-nlp/RoBERTa-eventx-recognition-sentence-,mdg-nlp/domain-eventx-recognition-sentence-updated,eventx,0.1342,0.1014
mdg-nlp/T5-eventx-sentence-recoginition-,mdg-nlp/domain-eventx-recognition-sentence-updated,eventx,0.1008,0.0735
mdg-nlp/gpt-2-eventx-sentence-recognition-,mdg-nlp/domain-eventx-recognition-sentence-updated,eventx,0.1284,0.0956
mdg-nlp/RoBERTa-eventx-recognition-sentence-,mdg-nlp/eventx-recognition-document,eventx,0.8229,0.8536
mdg-nlp/T5-eventx-sentence-recoginition-,mdg-nlp/eventx-recognition-document,eventx,0.6432,0.678
mdg-nlp/gpt-2-eventx-sentence-recognition-,mdg-nlp/eventx-recognition-document,eventx,0.8449,0.8436
mdg-nlp/RoBERTa-eventx-recognition-sentence-,mdg-nlp/eventx-recognition-original,eventx,0.8508,0.8537
mdg-nlp/T5-eventx-sentence-recoginition-,mdg-nlp/eventx-recognition-original,eventx,0.6779,0.6534
mdg-nlp/gpt-2-eventx-sentence-recognition-,mdg-nlp/eventx-recognition-original,eventx,0.844,0.8315
mdg-nlp/RoBERTa-eventx-recognition-sentence-,mdg-nlp/eventx-recognition-perturbed,eventx,0.828,0.8168
mdg-nlp/T5-eventx-sentence-recoginition-,mdg-nlp/eventx-recognition-perturbed,eventx,0.6226,0.598
mdg-nlp/gpt-2-eventx-sentence-recognition-,mdg-nlp/eventx-recognition-perturbed,eventx,0.785,0.7628
mdg-nlp/RoBERTa-eventx-recognition-sentence-,mdg-nlp/eventx-recognition-sentence-vocab-substituted-updated,eventx,0.8517,0.856
mdg-nlp/T5-eventx-sentence-recoginition-,mdg-nlp/eventx-recognition-sentence-vocab-substituted-updated,eventx,0.6683,0.6432
mdg-nlp/gpt-2-eventx-sentence-recognition-,mdg-nlp/eventx-recognition-sentence-vocab-substituted-updated,eventx,0.8447,0.8319
mdg-nlp/RoBERTa-timex-recognition-sentence-,mdg-nlp/timex-recognition-document,timex,0.8491,0.8804
mdg-nlp/T5-timex-recognition-sentence-,mdg-nlp/timex-recognition-document,timex,0.6239,0.6652
mdg-nlp/gpt-2-timex-sentence-recognition-,mdg-nlp/timex-recognition-document,timex,0.7295,0.7524
mdg-nlp/RoBERTa-timex-recognition-sentence-,mdg-nlp/timex-recognition-sentence-adversarial,timex,0.8721,0.8813
mdg-nlp/T5-timex-recognition-sentence-,mdg-nlp/timex-recognition-sentence-adversarial,timex,0.6355,0.6337
mdg-nlp/gpt-2-timex-sentence-recognition-,mdg-nlp/timex-recognition-sentence-adversarial,timex,0.7221,0.715
mdg-nlp/RoBERTa-timex-recognition-sentence-,mdg-nlp/timex-recognition-sentence-original,timex,0.8876,0.9028
mdg-nlp/T5-timex-recognition-sentence-,mdg-nlp/timex-recognition-sentence-original,timex,0.6439,0.6357
mdg-nlp/gpt-2-timex-sentence-recognition-,mdg-nlp/timex-recognition-sentence-original,timex,0.784,0.7873
mdg-nlp/RoBERTa-timex-recognition-sentence-,mdg-nlp/timex-recognition-sentence-vocab-substituted-updated,timex,0.8885,0.9042
mdg-nlp/T5-timex-recognition-sentence-,mdg-nlp/timex-recognition-sentence-vocab-substituted-updated,timex,0.6444,0.6367
mdg-nlp/gpt-2-timex-sentence-recognition-,mdg-nlp/timex-recognition-sentence-vocab-substituted-updated,timex,0.7784,0.7852
